"id";"title";"artist";"lyrics"
"111";"Pra Você Guardei o Amor";"Nando Reis";"Pra você guardei o amor
Que nunca soube dar
O amor que tive e vi sem me deixar
Sentir sem conseguir provar
Sem entregar
E repartir
Pra você guardei o amor
Que sempre quis mostrar
O amor que vive em mim vem visitar
Sorrir, vem colorir solar
Vem esquentar
E permitir
Quem acolher o que ele tem e traz
Quem entender o que ele diz
No giz do gesto o jeito pronto
Do piscar dos cílios
Que o convite do silêncio
Exibe em cada olhar
Guardei
Sem ter porquê
Nem por razão
Ou coisa outra qualquer
Além de não saber como fazer
Pra ter um jeito meu de me mostrar
Achei
Vendo em você
explicação
Nenhuma isso requer
Se o coração bater forte e arder
No fogo o gelo vai queimar
Pra você guardei o amor
Que aprendi vendo os meus pais
O amor que tive e recebi
E hoje posso dar livre e feliz
Céu cheiro e ar na cor que arco-íris
Risca ao levitar
Vou nascer de novo
Lápis, edifício, tevere, ponte
Desenhar no seu quadril
Meus lábios beijam signos feito sinos
Trilho a infância, terço o berço
Do seu lar
Guardei
Sem ter porque
Nem por razão
Ou coisa outra qualquer
Além de não saber como fazer
Pra ter um jeito meu de me mostrar
Achei
Vendo em você
explicação
Nenhuma isso requer
Se o coração bater forte e arder
No fogo o gelo vai queimar
Pra você guardei o amor
Que nunca soube dar
O amor que tive e vi sem me deixar
Sentir sem conseguir provar
Sem entregar
E repartir
Quem acolher o que ele tem e traz
Quem entender o que ele diz
No giz do gesto o jeito pronto
Do piscar dos cílios
Que o convite do silêncio
Exibe em cada olhar
Guardei
Sem ter porque
Nem por razão
Ou coisa outra qualquer
Além de não saber como fazer
Pra ter um jeito meu de me mostrar
Achei
Vendo em você
explicação
Nenhuma isso requer
Se o coração bater forte e arder
No fogo o gelo vai queimar"
"112";"A Banda";"Nara Leão";"Estava à toa na vida, o meu amor me chamou
Pra ver a banda passar cantando coisas de amor
A minha gente sofrida despediu-se da dor
Pra ver a banda passar cantando coisas de amor
O homem sério que contava dinheiro parou
O faroleiro que contava vantagem parou
A namorada que contava as estrelas parou
Para ver, ouvir e dar passagem
A moça triste que vivia calada sorriu
A rosa triste que vivia fechada se abriu
E a meninada toda se assanhou
Pra ver a banda passar cantando coisas de amor
Estribilho
O velho fraco se esqueceu do cansaço e pensou
Que ainda era moço pra sair no terraço e dançou
A moça feia debruçou na janela
Pensando que a banda tocava pra ela
A marcha alegre se espalhou na avenida e insistiu
A lua cheia que vivia escondida surgiu
Minha cidade toda se enfeitou
Pra ver a banda passar cantando coisas de amor
Mas para meu desencanto o que era doce acabou
Tudo tomou seu lugar depois que a banda passou
E cada qual no seu canto, em cada canto uma dor
Depois da banda passar cantando coisas de amor"
"113";"Me Dê Motivo";"Tim Maia";"É engraçado, ás vezes a gente sente fica pensando
Que está sendo amado, que está amando e que
Encontrou tudo o que a vida poderia oferecer
E em cima disso a gente constrói os nossos sonhos
Os nossos castelos e cria um mundo de encanto
onde tudo é belo
Até que a mulher que a gente ama, vacila e põe tudo a
perder
E põe tudo a perder...
Mê de motivo, para ir embora
Estou vendo a hora de te perder
Mê de motivo, vai ser agora
Estou indo embora o que fazer
Estou indo embora não faz sentido
Ficar contigo melhor assim
E é nessa hora que o homem chora
A dor é forte demais pra mim
Já que você quis assim, tudo bem
Cada um pra o seu lado, a vida é isso mesmo
Eu vou procurar e sei que vou encontrar
Alguém melhor que você, espero que seja feliz
No seu novo caminho, ficar contigo
Não faz sentido, melhor assim
Mê de motivo, foi jogo sujo
E agora eu fujo pra não sofrer
Fui teu amigo, te dei o mundo
Você foi fundo quis me perder
Agora é tarde não tem mais jeito
O teu defeito não tem perdão
Eu vou a luta, que a vida é curta
Não vale a pena sofrer em vão
Pode crer você pôs tudo a perder
Não devia me fazer o que fez
E por mais que voce tente negar, me dê motivo
Podes crer eu vou sair por aí
E provar que posso ser bem feliz
Encontrar alguém que saiba me dar
Me dar motivo"
"114";"Tropicana (Morena Tropicana)";"Alceu Valença";"Da manga rosa quero gosto e o sumo Melão maduro, sapoti, juá Jaboticaba, teu olhar noturno Beijo travoso de umbu-cajá Pele macia, ai, carne de caju Saliva doce, doce mel, mel de uruçu Linda morena, fruta de vez temporana Caldo de cana caiana, vem me desfrutar! Linda morena, fruta de vez temporana Caldo de cana caiana, vou te desfrutar! Morena tropicana, eu quero teu sabor Ai, ai, iô, iô Morena tropicana, eu quero teu sabor Ai, ai, ai, ai Da manga rosa quero gosto e o sumo Melão maduro, sapoti, juá Jaboticaba, teu olhar noturno Beijo travoso de umbu-cajá Pele macia, ai, carne de caju Saliva doce, doce mel, mel de uruçu Linda morena, fruta de vez temporana Caldo de cana caiana, vou te desfrutar! Linda morena, fruta de vez temporana Caldo de cana caiana, vem me desfrutar! Morena tropicana, eu quero teu sabor Ai, ai, iô, iô Morena tropicana, eu quero teu sabor Ai, ai, ai, ai Morena tropicana, eu quero teu sabor Ai, ai, ai, ai Morena tropicana, eu quero teu sabor Ai, ai, ai, ai Da manga rosa quero gosto e o sumo Melão maduro, sapoti, juá Jaboticaba, teu olhar noturno Beijo travoso de umbu-cajá Pele macia, ai, carne de caju Saliva doce, doce mel, mel de uruçu Linda morena, fruta de vez temporana Caldo de cana caiana, vou te desfrutar! Linda morena, fruta de vez temporana, oi Caldo de cana caiana, vem me desfrutar! Morena tropicana, eu quero teu sabor Ai, ai, ai, ai Morena tropicana, eu quero teu sabor Ai, ai, ai, ai Morena tropicana, eu quero teu sabor Ai, ai, ai, ai Morena tropicana"
"115";"Você Abusou";"Antonio Carlos & Jocafi";"Você abusou Tirou partido de mim, abusou Você abusou Tirou partido de mim, abusou Tirou partido de mim, abusou Tirou partido de mim, abusou Mas não faz mal É tão normal ter desamor É tão cafona é sofredor Que eu já nem sei Se é meninice ou cafonice o meu amor Se o quadradismo dos meus versos Vai de encontro aos intelectos Que não usam o coração como expressão Você abusou Tirou partido de mim, abusou Tirou partido de mim, abusou Tirou partido de mim, abusou E me perdoe se eu insisto nesse tema Mas não sei fazer poema ou canção Que fale de outra coisa que não seja o amor Se o quadradismo dos meus versos Vai de encontro aos intelectos Que não usam o coração como expressão Você abusou Tirou partido de mim, abusou Você abusou Tirou partido de mim, abusou Tirou partido de mim, abusou Tirou partido de mim, abusou"
"116";"Último Desejo";"Aracy de Almeida";"Nosso amor que eu não esqueço
E que teve seu começo
Numa festa de São João
Morre hoje sem foguete
Sem retrato e sem bilhete
Sem luar, sem violão
Perto de você me calo
Tudo penso, nada falo
Tenho medo de chorar
Nunca mais quero o seu beijo
Mas meu último desejo
Você não pode negar
Se alguma pessoa amiga
Pedir que você lhe diga
Se você me quer ou não
Diga que você me adora
Que você lamenta e chora
A nossa separação
E às pessoas que detesto
Diga sempre que eu não presto
Que o meu lar é um botequim
Que eu arruinei sua vida
Que eu não mereço a comida
Que você pagou pra mim"
"117";"Vou Festejar";"Beth Carvalho";"Chora, não vou ligar
Chegou a hora
Vais me pagar
Pode chorar, pode chorar
És, o teu castigo
Brigou comigo
Sem ter por que
Vou festejar, vou festejar
O teu sofrer, o teu penar
Você pagou com traição
A quem sempre lhe deu a mão
Você pagou com traição
A quem sempre lhe deu a mão"
"118";"Nobre Vagabundo";"Daniela Mercury";"Quanto tempo tenho Pra matar essa saudade Meu bem o ciúme É pura vaidade Se tu foges o tempo Logo traz ansiedade Respirar o amor Aspirando liberdade Tenho a vida doida Encabeço o mundo Sou ariano torto Vivo de amor profundo Sou perecível ao tempo Vivo por um segundo Perdoa meu amor Esse nobre vagabundo"
"119";"Sereia";"Lulu Santos";"Clara como a luz do sol
Clareira luminosa nessa escuridão
Bela como a luz da lua
Estrela do oriente nesses mares do sul

Clareira azul no céu
Na paisagem
Será magia, miragem, milagre
Será mistério

Prateando horizontes
Brilham rios, fontes
Numa cascata de luz
No espelho dessas águas
Vejo a face luminosa do amor
As ondas vão e vem
E vão e são como o tempo

Luz do divinal querer
Seria uma sereia
Ou seria só
Delírio tropical, fantasia
Ou será um sonho de criança
Sob o sol da manhã"
"120";"O Caderno";"Toquinho";"Sou eu que vou seguir você
Do primeiro rabisco até o bê-a-bá
Em todos os desenhos
Coloridos vou estar
A casa, a montanha, duas nuvens no céu
E um sol a sorrir no papel
Sou eu que vou ser seu colega
Seus problemas ajudar a resolver
Te acompanhar nas provas bimestrais
Você vai ver
Serei de você confidente fiel
Se seu pranto molhar meu papel
Sou eu que vou ser seu amigo
Vou lhe dar abrigo
Se você quiser
Quando surgirem seus primeiros raios de mulher
A vida se abrirá num feroz carrossel
E você vai rasgar meu papel
O que está escrito em mim
Comigo ficará guardado
Se lhe dá prazer
A vida segue sempre em frente
O que se há de fazer
Só peço a você um favor
Se puder
Não me esqueça num canto qualquer
Só peço a você um favor
Se puder
Não me esqueça num canto qualquer"
"121";"Flor de Lis";"Djavan";"Valei-me, Deus! É o fim do nosso amor Perdoa, por favor Eu sei que o erro aconteceu Mas não sei o que fez Tudo mudar de vez Onde foi que eu errei? Eu só sei que amei, Que amei, que amei, que amei Será talvez Que minha ilusão Foi dar meu coração Com toda força Pra essa moça Me fazer feliz E o destino não quis Me ver como raiz De uma flor de lis E foi assim que eu vi Nosso amor na poeira, Poeira Morto na beleza fria de Maria E o meu jardim da vida Ressecou, morreu Do pé que brotou Maria Nem margarida nasceu. E o meu jardim da vida Ressecou, morreu Do pé que brotou Maria Nem margarida nasceu. © 1976 BMG Music Publishing Brasil."
"122";"Borbulhas de Amor";"Fagner";"Tenho um coração
Dividido entre a esperança e a razão
Tenho um coração
Bem melhor que não tivera
Esse coração
Não consegue se conter ao ouvir tua voz
Pobre coração
Sempre escravo da ternura
Quem dera ser um peixe
Para em teu límpido aquário mergulhar
Fazer borbulhas de amor pra te encantar
Passar a noite em claro
Dentro de ti
Um peixe
Para enfeitar de corais tua cintura
Fazer silhuetas de amor à luz da lua
Saciar esta loucura
Dentro de ti
Canta, coração
Que esta alma necessita de ilusão
Sonha, coração
Não te enchas de amargura
Esse coração
Não consegue se conter ao ouvir tua voz
Pobre coração
Sempre escravo da ternura
Quem dera ser um peixe
Para em teu límpido aquário mergulhar
Fazer borbulhas de amor pra te encantar
Passar a noite em claro
Dentro de ti
Um peixe
Para enfeitar de corais tua cintura
Fazer silhuetas de amor à luz da lua
Saciar esta loucura
Dentro de ti
Uma noite
Para unirmos até o fim
Cara a cara, beijo a beijo
E viver para sempre
Dentro de ti"
"123";"Beija Eu";"Marisa Monte";"Seja eu,
Seja eu,
Deixa que eu seja eu.
E aceita
O que seja seu.
Então deita e aceita eu.
Molha eu,
Seca eu,
Deixa que eu seja o céu
E receba
O que seja seu.
Anoiteça e amanheça eu.
Beija eu,
Beija eu,
Beija eu, me beija.
Deixa
O que seja ser
Então beba e receba
Meu corpo no seu corpo,
Eu no meu corpo,
Deixa,
Eu me deixo
Anoiteça e amanheça"
"124";"Lança Perfume";"Rita Lee";"Lança menina, lança todo este perfume Desbaratina não dá pra ficar imune Ao teu amor que tem cheiro de coisa maluca Vem cá meu bem, me descola um carinho Eu sou neném, só sossego com beijinho E vê se me dá o prazer de ter prazer comigo Me aqueça Me vira de ponta cabeça Me faz de gato e sapato e... Me deixa de quatro no ato Me enche de amor, de amor Lança, lança perfume Oh oh oh oh lança, lança perfume Lança perfume...."
"125";"Além do Horizonte";"Roberto Carlos";"Além do horizonte deve ter
Algum lugar bonito pra viver em paz
Onde eu possa encontrar a natureza
Alegria e felicidade com certeza.
Lá nesse lugar o amanhecer é lindo
Com flores festejando mais um dia
Que vem vindo
Onde a gente pode se deitar no campo
Se amar na relva escutando
O canto dos pássaros
Aproveitar a tarde sem pensar na vida
Andar despreocupado sem saber
A hora de voltar
Bronzear o corpo todo sem censura
Gozar a liberdade de uma vida sem frescura.
Se você não vem comigo tudo isso vai ficar
No horizonte esperando por nós dois
Se você não vem comigo nada disso tem valor
De que vale o paraíso sem amor
Além do horizonte existe um lugar
Bonito e tranquilo pra gente se amar.
Lalalalalalarala, lalalalalalarala...
Se você não vem comigo tudo isso vai ficar
No horizonte esperando por nós dois
Se você não vem comigo nada disso tem valor
De que vale o paraíso sem amor
Além do horizonte existe um lugar
Bonito e tranqüilo pra gente se amar.
Lalalalalalarala, lalalalalalarala..."
"126";"Catedral";"Zélia Duncan";"O deserto Que atravessei Ninguém me viu passar Estranha e só Nem pude ver Que o céu é maior Tentei dizer mas vi você Tão longe de chegar Mas perto de algum lugar É deserto Onde eu te encontrei Você me viu passar Correndo só Nem pude ver Que o tempo é maior Olhei pra mim Me vi assim Tão perto de chegar Onde você não está No silêncio uma catedral Um templo em mim Onde eu possa ser imortal Mas vai existir Eu sei Vai ter que existir Vai resistir nosso lugar Solidão Quem pode evitar Te encontro enfim Meu coração é secular Sonha e deságua Dentro de mim Amanhã devagar Me diz Como voltar Se eu disser Que foi por amor Não vou mentir pra mim Se eu disser Deixa pra depois Não foi sempre assim Tentei dizer Mas vi você Tão longe de chegar Mas perto de algum lugar..."
"127";"Felicidade";"Caetano Veloso";"Felicidade foi-se embora
E a saudade no meu peito ainda mora
E é por isso que eu gosto lá de fora
Porque eu sei que a falsidade não vigora
A minha casa fica lá detrás do mundo
Onde eu vou num segundo quando começo a cantar
O pensamento parece uma coisa à toa
mas como é que a gente voa quando começa a pensar
Felicidade foi-se embora
E a saudade no meu peito ainda mora
E é por isso que eu gosto lá de fora
Porque eu sei que a falsidade não vigora
Na minha casa tem um cavalo tordilho
que é irmão do que é filho daquele que o Juca tem
E quando pego o meu cavalo e o encilho
Sou pior que limpa trilho e corro na frente do trem."
"128";"Folhas Secas";"Nelson Cavaquinho";"Intro: F C7
F Cm D7
Quando eu piso em folhas secas
Gm Bbm C7
Caídas de uma mangueira
Gm G7 C7
Penso na minha escola
F Abdim Gm C7 F
E nos poetas da minha estação primeira
F Cm D7
Não sei quantas vezes
Gm Bbm C7
Subi o morro cantando
Gm G7 C7
Sempre o sol me queimando
F D7 Gm C7 F
E assim vou me acabando.
F E7 Am Am-Bbm-Bm-Cm
Quando o tempo avisar
Cm F7 Bb
Que não posso mais cantar
C7 F D7
Sei que vou sentir saudade
G7
Ao lado do meu violão
C7
Da Minha mocidade"
"129";"Uma Brasileira";"Os Paralamas do Sucesso";"Rodas em sol, trovas em do
Uma brasileira, o
Uma forma inteira, o
You, you, you

Nada de mais
Nada através
Uma légua e meia, o
Uma brasa incendeia, o
You, you, you

Deixa o Sal no mar
Deixe tocar aquela canção

Refrão:
One more time
One more time
One more time

Tatibitate
Trate-me, trate
Como um candeeiro, o
Somos do interior do mi-lho

E esse ao de são
Hei de cantar naquela canção

(2x refrão: One more time)

Nada de mais
Nada através
Uma legua e meia, o
Uma brasa incendeia, o
You, you, you

E esse ao de são
Hei de cantar naquela canção

Refrão:
One more time
One more time
One more time"
"130";"Deixa Chover";"Guilherme Arantes";"Certos dias
De chuva
Nem é bom sair
De casa
Agitar
É melhor dormir
Se você
Tentou
E não aconteceu
Valeu!
Infelizmente nem tudo é
Exatamente como a gente quer
As pessoas
Sempre têm
Chance de jogar
De novo
E errar
Ver o que convém
Receber
Alguém
No seu coração
Ou não!
Infelizmente nem tudo é
Exatamente como a gente quer
Deixa chover
Ah ah ahhhhh
Deixa a chuva molhar
Dentro do peito tem um fogo ardendo
Que nunca vai se apagar
Deixa chover
Ah ah ahhhhh
Deixa a chuva molhar
Dentro do peito tem um fogo ardendo
Que nunca
Nada
Nada vai apagar"
"131";"Brincar de Viver";"Maria Bethânia";"Quem me chamou
Quem vai querer voltar pro ninho
E redescobrir seu lugar
Pra retornar
E enfrentar o dia-a-dia
Reaprender a sonhar
Você verá que é mesmo assim,
que a história não tem fim
Continua sempre que você responde sim
à sua imaginação
A arte de sorrir cada vez que o mundo diz não
Você verá que a emoção começa agora
Agora é brincar de viver
E não esquecer, ninguém é o centro do universo
Que assim é maior o prazer
Você verá que é mesmo assim,
que a história não tem fim
Continua sempre que você responde sim
à sua imaginação
A arte de sorrir cada vez que o mundo diz não
E eu desejo amar todos que eu cruzar pelo meu caminho
Como eu sou feliz, eu quero ver feliz
Quem andar comigo,vem"
"132";"Baila Comigo";"Rita Lee";"Se Deus quiser, um dia eu quero ser índio Viver pelado, pintado de verde num eterno domingo Ser um bicho preguiça e espantar turista E tomar banho de sol, banho de sol, banho de sol, sol Se Deus quiser um dia acabo voando Tão banal, assim como um pardal, meio de contrabando Desviar de estilingue, deixar que me xinguem E tomar banho de sol, banho de sol banho de sol, banho de sol Baila comigo, como se baila na tribo Baila comigo, lá no meu esconderijo Se Deus quiser um dia eu viro semente E quando a chuva molhar o jardim, ah, eu fico contente E na primavera vou brotar na terra E tomar banho de sol, banho de sol, banho de sol, sol Se Deus quiser um dia eu morro bem velha Na hora ""H"" quando a bomba estourar quero ver da janela E entrar no pacote de camarote E tomar banho de sol, banho de sol, banho de sol, sol Baila comigo, como se baila na tribo Baila comigo, lá no meu esconderijo"
"133";"Sonífera Ilha";"Titãs";"Não posso mais viver assim ao seu ladinho
Por isso colo meu ouvido no radinho de pilha
Pra te sintonizar sozinha, numa ilha.
Sonífera ilha
Descansa meus olhos
Sossega minha boca
Me enche de luz
Sonífera ilha
Descansa meus olhos
Sossega minha boca
Me enche de luz
Eu quero mais viver
assim ao seu ladinho
Por isso colo meu ouvido no radinho de pilha
Pra te sintonizar...sozinha numa ilha
(Refrão)
Sonífera ilha descansa meus olhos
Sossega minha boca,me enche luz.
Sonífera ilha ohho descansa meus olhos
Sossega minha boca me enche luz.
Sonífera ilha descansa meus olhos.
Sossega minha boca, me enche de luz..."
"134";"Papel Machê";"João Bosco";"Cores do mar, festa do Sol Vida é fazer Todo o sonho brilhar Ser feliz No teu colo dormir E depois acordar Sendo o seu colorido Brinquedo de Papel Machê Dormir no seu colo É tornar a nascer Violeta e azul Outro ser Luz do querer Não vai desbotar Lilás cor do mar Seda cor de batom Arco-íris crepom Nada vai desbotar Brinquedo de Papel Machê Dormir no seu colo É tornar a nascer Violeta e azul Outro ser Luz do querer Não vai desbotar Lilás cor do mar Seda cor de batom Arco-íris crepom Nada vai desbotar Brinquedo de Papel Machê Ai Ai Ai Ai Ai Ai!! Lê Lê Lê Lê Lê Lê Lê Lon Lon Lon Lon Ah! Lê Lê Lê Lê Lê Lê Lê Lon Lon Lon Lon Ah!"
"135";"Já Sei Namorar";"Tribalistas";"Já sei namorar
Já sei beijar de língua
Agora só me resta sonhar
Já sei aonde ir
Já sei onde ficar
Agora só me falta sair
Não tenho paciência pra televisão
Eu não sou audiência para a solidão
Eu sou de ninguém
Eu sou de todo mundo e
Todo mundo me quer bem
Eu sou de ninguém
Eu sou de todo mundo e
Todo mundo é meu também
Já sei namorar
Já sei chutar a bola
Agora só me falta ganhar
Não tem um juíz
Se você quer a vida em jogo
Eu quero é ser feliz
Não tenho paciência pra televisão
Eu não sou audiência para solidão
Eu sou de ninguém
Eu sou de todo mundo e
Todo mundo me quer bem
Eu sou de ninguém
Eu sou de todo mundo e
Todo mundo é meu também
Tô te querendo
Como ninguém
Tô te querendo
Como Deus quiser
Tô te querendo
Como eu te quero
Tô te querendo
Como se quer"
"136";"Óculos";"Os Paralamas do Sucesso";"Se as meninas do Leblon
Não olham mais pra mim.
Eu uso óculos
E volta e meia
Eu entro com meu carro pela contramão
Eu tô sem óculos
Se eu tô alegre
Eu ponho os óculos e vejo tudo bem
Mas se eu tô triste eu tiro os óculos
Eu não vejo ninguém
Por que você não olha pra mim?
Me diz o que é que eu tenho de mal
Por que você não olha pra mim?
Por trás dessa lente tem um cara legal...
Eu decidi dizer que eu nunca fui o tal
Era mais jogo se eu tentasse
fazer charme de intelectual
Se eu te disser
Periga você não acreditar em mim.
Eu não nasci de óculos...
Eu não era assim...
Por que você não olha pra mim?
Me diz o que é que eu tenho de mal.
Por que você não olha pra mim?
Por trás dessa lente tem um cara legal.
Por que você não olha pra mim?
Por que você diz sempre que não?
Por que você não olha pra mim?
Por trás dessa lente também bate um coração."
"137";"Meu Sangue Ferve Por Você";"Sidney Magal";"Teu, todo teu Minha, toda minha Juntos, essa noite Quero te dar todo meu amor Toda minha vida (sim) Eu te procurei (nana-nana-na) Hoje sou feliz Com você que é tudo o que sonhei Ooh, eu te amo Ooh, eu te amo, meu amor Ooh, eu te amo E o meu sangue ferve por você Ooh, eu te amo Ooh, eu te amo, meu amor Ooh, eu te amo E o meu sangue ferve por você Você me enlouquece Você é o que quero Eu sou prisioneiro Prisioneiro desse seu amor Toda, minha vida (sim, sim, sim, sim) Eu te procurei Hoje sou feliz Com você que é tudo o que sonhei Ooh, eu te amo Ooh, eu te amo, meu amor Ooh, eu te amo E o meu sangue ferve por você Ooh, eu te amo Ooh, eu te amo, meu amor Ooh, eu te amo E o meu sangue ferve por você Ooh, eu te amo Ooh, eu te amo, meu amor Ooh, eu te amo E o meu sangue ferve por você"
"138";"Te Ver";"Skank";"Te ver e não te querer
É improvável, é impossível
Te ter e ter que esquecer
É insuportável, é dor incrível (2x)
É como mergulhar num rio e não se molhar
É como não morrer de frio no gelo polar
É ter o estômago vazio e não almoçar
É ver o céu se abrir no estio e não se animar
Te ver e não te querer
É improvável, é impossível
Te ter e ter que esquecer
É insuportável, é dor incrível
É como esperar o prato e não salivar
Sentir apertar o sapato e não descalçar
É ver alguém feliz de fato sem alguém pra amar
É como procurar no mato estrela do mar
Te ver e não te querer
É improvável, é impossível
Te ter e ter que esquecer
É insuportável, é dor incrível
É como não sentir calor em Cuiabá
Ou como no Arpoador não ver o mar
É como não morrer de raiva com a política
Ignorar que a tarde vai vadia e mítica
É como ver televisão e não dormir
Ver um bichano pelo chão e não sorrir
É como não provar o néctar de um lindo amor
Depois que o coração detecta a mais fina flor
Te ver e não te querer
É improvável, é impossível
Te ter e ter que esquecer
É insuportável, é dor incrível"
"139";"Linda Juventude";"14 Bis";"Zabelê, Zumbi, Besouro Vespa fabricando mel Guardo teu tesouro Jóia marrom Raça como nossa côr... Nossa linda juventude Página de um livro bom Canta que te quero Cais e calor Claro como o sol raiou Claro como o sol raiou... Maravilha, juventude Pobre de mim, pobre de nós Via Láctea, brilha por nós Vidas pequenas na esquina... Fado, sina, lei, tesouro Canta que te quero bem Brilha que te quero Luz andaluz Massa como o nosso amor... Nossa linda juventude Página de um livro bom Canta que quero cais e calor Claro como o sol raiou Claro como o sol raiou... Maravilha, juventude Tudo de mim, tudo de nós Via Láctea, brilha por nós Vidas bonitas da esquina... Zabelê, Zumbi, Besouro Vespa fabricando mel Guardo teu tesouro Jóia marrom Raça como nossa côr... Nossa linda juventude Página de um livro bom Canta que te quero Cais e calor Claro como o sol raiou Claro como o sol raiou..."
"140";"O Sol Nascerá";"Cartola";"A sorrir
Eu pretendo levar a vida,
Pois chorando
Eu vi a mocidade perdida.
A sorrir
Eu pretendo levar a vida,
Pois chorando
Eu vi a mocidade perdida.
Fim da a tempestade
O sol nascerá,
Fim desta saudade
Hei de ter outro alguém para amar.
A sorrir
Eu pretendo levar a vida,
Pois chorando
Eu vi a mocidade perdida.
Fim da tempestade
O sol nacerá,
Fim desta saudade
Hei de ter outro alguem para amar.
A sorrir
Eu pretendo levar a vida,
Pois chorando
Eu vi a mocidade perdida.
Levar a vida"
"141";"Bete Balanço";"Barão Vermelho";"Pode seguir a tua estrela O teu brinquedo de star Fantasiando em segredo O ponto aonde quer chegar O teu futuro é duvidoso Eu vejo grana, eu vejo dor No paraíso perigoso Que a palma da tua mão mostrou Quem vem com tudo não cansa Bete balança meu amor Me avise quando for a hora Não ligue pra essas caras tristes Fingindo que a gente não existe Sentadas, são tão engraçadas Donas das suas salas Quem tem um sonho não dança Bete Balanço, por favor Me avise quando for embora © Editora Sigem"
"142";"Coração Selvagem";"Belchior";"Meu bem, guarde uma frase pra mim dentro da sua canção
Esconda um beijo pra mim sob as dobras do blusão
Eu quero um gole de cerveja no seu copo
No seu colo e nesse bar
Meu bem, o meu lugar é onde você quer que ele seja
Não quero o que a cabeça pensa eu quero o que a alma deseja
Arco-íris, anjo rebelde, eu quero o corpo
Tenho pressa de viver
Mas quando você me amar, me abrace e me beije bem devagar
Que é para eu ter tempo, tempo de me apaixonar
Tempo para ouvir o rádio no carro
Tempo para a turma do outro bairro, ver e saber que eu te amo
Meu bem, o mundo inteiro está naquela estrada ali em frente
Tome um refrigerante, coma um cachorro-quente
Sim, já é outra viagem e o meu coração selvagem
Tem essa pressa de viver
Meu bem, mas quando a vida nos violentar
Pediremos ao bom Deus que nos ajude
Falaremos para a vida: ""Vida, pisa devagar
Meu coração cuidado é frágil;
Meu coração é como vidro, como um beijo de novela""
Meu bem, talvez você possa compreender a minha solidão
O meu som, e a minha fúria e essa pressa de viver
E esse jeito de deixar sempre de lado a certeza
E arriscar tudo de novo com paixão
Andar caminho errado pela simples alegria de ser
Meu bem, vem viver comigo, vem correr perigo
Vem morrer comigo, meu bem, meu bem, meu bem
Talvez eu morra jovem:
Nalguma curva no caminho, algum punhal de amor traído
Completará o meu destino, meu bem... Que outros cantores chamam baby."
"143";"Minha Namorada";"Carlos Lyra";"Se você quer ser minha namorada
Ah, que linda namorada
Você poderia ser
Se quiser ser somente minha
Exatamente essa coisinha, essa coisa toda minha
Que ninguém mais pode ser...
Você tem que me fazer um juramento
De só ter um pensamento
Ser só minha até morrer...
E também de não perder esse jeitinho
De falar devagarinho
Essas histórias de você
E de repente me fazer muito carinho
E chorar bem de mansinho
Sem ninguém saber porque...
E se mais do que minha namorada
Você quer ser minha amada
Minha amada, mas amada pra valer
Aquela amada pelo amor predestinada
Sem a qual a vida é nada
Sem a qual se quer morrer
Você tem que vir comigo em meu caminho
E talvez o meu caminho
Seja triste pra você...
Os seus olhos tem que ser só dos meus olhos
Os seus braços o meu ninho no silêncio de depois
E você tem que ser a estrela derradeira
Minha amiga e companheira
No infinito de nós dois."
"144";"Vai Passar";"Chico Buarque";"Vai passar
Nessa avenida um samba
popular
Cada paralelepípedo
Da velha cidade
Essa noite vai
Se arrepiar
Ao lembrar
Que aqui passaram
sambas imortais
Que aqui sangraram pelos
nossos pés
Que aqui sambaram
nossos ancestrais
Num tempo
Página infeliz da nossa
história
Passagem desbotada na
memória
Das nossas novas
gerações
Dormia
A nossa pátria mãe tão
distraída
Sem perceber que era
subtraída
Em tenebrosas
transações
Seus filhos
Erravam cegos pelo
continente
Levavam pedras feito
penitentes
Erguendo estranhas
catedrais
E um dia, afinal
Tinham direito a uma
alegria fugaz
Uma ofegante epidemia
Que se chamava carnaval
O carnaval, o carnaval
(Vai passar)
Palmas pra ala dos
barões famintos
O bloco dos napoleões
retintos
E os pigmeus do bulevar
Meu Deus, vem olhar
Vem ver de perto uma
cidade a cantar
A evolução da liberdade
Até o dia clarear
Ai, que vida boa, olerê
Ai, que vida boa, olará
O estandarte do sanatório
geral vai passar
Ai, que vida boa, olerê
Ai, que vida boa, olará
O estandarte do sanatório
geral
Vai passar
1986 © - Marola Edições Musicais Ltda."
